#PSR           P     DM     Gl     Gb     year  Survey
#             (ms)  (pc/cc) (◦)    (◦)
J0435+3233    3.198  38.4   168.1  -10.1  2020  FAST-CRAFTS
J0447+2446    2.995  32.8   175.9  -13.1  2020  FAST-CRAFTS
J1602-0611    3.95   27.6   4.3    33.2   2021  FAST-CRAFTS
J0227+2859    4.089  168.2  146.9  -29.4  2021  FAST-CRAFTS
J0640-0139    3.461  149.8  213.1  -3.3   2021  FAST-CRAFTS
J2149+5644    15.29  198.3  99.8   2.3    2021  FAST-CRAFTS
J2024+2704    8.0    179.0  67.5   -6.0   2021  FAST-CRAFTS
J0756-0517    3.163  21.7   225.2  11.8   2022  FAST-CRAFTS
J1925+1628g   4.11   214.1  51.4   0.2    2019  FAST-GPPS
J1904+0853    6.19   195.1  42.4   1.1    2019  FAST-GPPS
J1947+2011g   8.17   127.4  57.2   -2.6   2019  FAST-GPPS
J1917+1259g   5.63   117.0  47.4   0.2    2019  FAST-GPPS
J1930+1403g   3.21   150.5  49.8   -2.0   2019  FAST-GPPS
J1854+0012g   2.71   204.1  33.4   -0.5   2020  FAST-GPPS
J1924+1343g   5.72   98.5   48.9   -0.9   2020  FAST-GPPS
J1904+0553Ag  4.90   164.2  39.6   -0.2   2020  FAST-GPPS
J1910+1054g   3.87   139.4  44.7   0.9    2020  FAST-GPPS
J1952+2702g   4.14   213.1  63.7   -0.0   2020  FAST-GPPS
J1952+2836g   18.01  313.0  65.1   0.7    2020  FAST-GPPS
J1936+1952g   9.72   325.0  55.6   -0.4   2020  FAST-GPPS
J1859+0026Ag  8.57   334.1  34.3   -1.7   2020  FAST-GPPS
J1903+0839g   4.62   166.5  42.0   1.2    2020  FAST-GPPS
J1904+0836g   4.44   90.5   42.1   1.0    2020  FAST-GPPS
J1838+0022g   5.09   122.6  31.8   3.1    2020  FAST-GPPS
J1844+0028g   3.57   181.1  32.6   1.7    2020  FAST-GPPS
J1908+1035g   10.69  10.9   44.3   1.1    2020  FAST-GPPS
J1928+1816g   10.54  346.3  53.3   0.5    2020  FAST-GPPS
J1858+0244g   2.61   282.6  36.1   -0.2   2020  FAST-GPPS
J1847+0110g   6.53   183.4  33.5   1.4    2020  FAST-GPPS
J1908+0949g   9.05   220.3  43.6   0.8    2020  FAST-GPPS
J1859+0313g   1.61   107.9  36.7   -0.3   2019  FAST-GPPS
J1904+0207g   5.04   229.9  36.3   -2.0   2020  FAST-GPPS
J1924+2027g   1.95   211.7  54.8   2.2    2020  FAST-GPPS
J1909+1132g   6.80   276.1  45.3   1.3    2020  FAST-GPPS
J1918+1540g   4.28   271.2  49.9   1.3    2020  FAST-GPPS
J1840+0012g   5.34   100.9  31.9   2.5    2020  FAST-GPPS
J1918+1547g   3.76   64.6   50.0   1.3    2020  FAST-GPPS
J1859+0658g   5.11   290.4  40.0   1.5    2020  FAST-GPPS
J1928+1902g   5.80   28.9   54.0   0.8    2020  FAST-GPPS
J1916+0741g   11.22  220.1  42.6   -2.0   2021  FAST-GPPS
J1912+1417g   3.17   66.6   48.0   1.9    2021  FAST-GPPS
J1852+0309g   5.58   358.0  35.8   1.3    2021  FAST-GPPS
J1852-0044g   2.41   272.8  32.4   -0.6   2021  FAST-GPPS
J1953+1844    4.44   113.1  56.7   -4.6   2021  FAST-GPPS
J1853-0008Ag  2.82   285.3  33.0   -0.5   2020  FAST-GPPS
J1849+0016g   1.81   271.4  33.0   0.5    2020  FAST-GPPS
J2023+2853g   11.33  22.8   68.9   -4.8   2019  FAST-GPPS
J1837+0528g   6.26   120.8  36.2   5.5    2021  FAST-GPPS
J1951+2528g   2.31   205.1  62.2   -0.7   2021  FAST-GPPS
J1919+1340g   11.66  394.5  48.2   0.2    2020  FAST-GPPS
J1828+0021g   1.47   40.4   30.6   5.3    2021  FAST-GPPS
J1835-0011g   3.23   36.2   31.0   3.4    2021  FAST-GPPS
J1845+0104g   6.71   94.9   33.2   1.7    2020  FAST-GPPS
J1943+2210g   12.87  110.7  58.5   -0.9   2021  FAST-GPPS
J1920+0129g   3.58   104.1  37.6   -5.8   2021  FAST-GPPS
J1911+1206g   3.44   181.7  46.0   1.1    2021  FAST-GPPS
J1857+0642g   3.53   21.6   39.6   1.6    2021  FAST-GPPS
J1921+1216g   3.00   256.2  47.2   -0.9   2021  FAST-GPPS
J1929+2355g   4.79   206.8  58.4   2.8    2021  FAST-GPPS
J1953+1006g   2.59   57.2   49.2   -8.9   2021  FAST-GPPS
J1838+1507g   3.82   54.8   45.1   9.6    2021  FAST-GPPS
J1952+2818g   3.09   250.2  64.8   0.5    2020  FAST-GPPS
J1917+0923g   4.71   297.8  44.3   -1.5   2021  FAST-GPPS
J1928+1458g   2.97   86.2   50.5   -1.2   2021  FAST-GPPS
J1918+1521g   4.07   237.0  49.6   1.2    2021  FAST-GPPS
J1838-0156g   5.51   163.4  29.7   2.1    2021  FAST-GPPS
J2003+3032g   1.79   164.4  68.0   -0.4   2021  FAST-GPPS
J1853-0049g   16.78  405.9  32.4   -0.7   2021  FAST-GPPS
J1930+1708g   2.28   87.2   52.5   -0.5   2021  FAST-GPPS
J1908+0705g   1.99   41.4   41.2   -0.6   2021  FAST-GPPS
J1837-0048g   2.73   195.5  30.6   2.7    2021  FAST-GPPS
J1833-0204g   4.43   312.1  29.0   3.1    2021  FAST-GPPS
J1856+1000g   4.87   202.1  42.4   3.4    2021  FAST-GPPS
J1848-0044g   5.55   227.7  32.0   0.2    2021  FAST-GPPS
J1921+1652g   3.68   124.1  51.3   1.2    2021  FAST-GPPS
J1840-0049g   6.76   245.9  30.9   2.2    2021  FAST-GPPS
J1849+0304g   1.79   146.7  35.4   1.8    2021  FAST-GPPS
J1929+1259g   2.85   90.9   48.9   -2.4   2021  FAST-GPPS
J1846+0014g   6.66   230.0  32.6   1.2    2020  FAST-GPPS
J1933+0913g   2.94   69.4   46.0   -5.1   2021  FAST-GPPS
J1838+0028g   1.87   107.2  31.9   3.1    2021  FAST-GPPS
J1859+0026Bg  2.33   191.6  34.3   -1.7   2020  FAST-GPPS
J1841-0123g   3.79   308.2  30.5   1.7    2021  FAST-GPPS
J1833-0048g   2.95   81.4   30.2   3.6    2022  FAST-GPPS
J1946+2433g   8.56   275.4  60.9   -0.3   2020  FAST-GPPS
J1947+2304g   10.90  320.5  59.7   -1.1   2020  FAST-GPPS
J1919+0126g   1.89   125.2  37.4   -5.6   2021  FAST-GPPS
J0622+0338g   8.77   79.4   206.3  -4.8   2022  FAST-GPPS
J1836-0150g   5.45   199.4  29.5   2.6    2022  FAST-GPPS
J1857-0125g   1.83   214.0  32.3   -2.0   2022  FAST-GPPS
J1913+0453g   6.08   297.0  39.8   -2.7   2021  FAST-GPPS
J1932+2121g   14.24  192.1  56.5   1.1    2022  FAST-GPPS
J1937+1927g   4.04   165.9  55.4   -0.9   2022  FAST-GPPS
J1900-0126g   4.00   145.5  32.6   -2.6   2022  FAST-GPPS
J1830-0106g   1.75   149.4  29.5   4.2    2022  FAST-GPPS
J1919+1502g   3.64   232.8  49.5   0.7    2020  FAST-GPPS
J1915+0720g   5.69   122.1  42.2   -2.0   2021  FAST-GPPS
J1943+2847g   6.29   191.6  64.2   2.5    2022  FAST-GPPS
J1842+0407g   3.93   101.7  35.5   3.9    2022  FAST-GPPS
J1839+0100g   5.36   130.1  32.5   3.1    2022  FAST-GPPS
J1858-0128g   7.87   38.1   32.4   -2.2   2022  FAST-GPPS
J1849+0329g   4.50   152.1  35.8   2.1    2022  FAST-GPPS
J1858+0724g   7.69   105.0  40.3   1.8    2022  FAST-GPPS
J1847+0342g   4.28   81.1   35.8   2.6    2022  FAST-GPPS
J1943+2446g   5.59   237.4  60.7   0.6    2022  FAST-GPPS
J1957+2754g   3.31   233.7  65.0   -0.5   2022  FAST-GPPS
J1902-0107g   6.12   290.3  33.2   -3.0   2022  FAST-GPPS
J1904+0056g   5.85   51.4   35.3   -2.6   2022  FAST-GPPS
J1902+0011g   5.92   248.5  34.4   -2.4   2022  FAST-GPPS
J1959+2758g   5.15   142.8  65.3   -0.9   2022  FAST-GPPS
J1917+0616g   3.96   172.5  41.5   -2.8   2022  FAST-GPPS
J1924+1201g   3.17   99.2   47.3   -1.7   2022  FAST-GPPS
J1830-0156g   7.52   242.3  28.8   3.7    2022  FAST-GPPS
J1859-0224g   6.17   89.4   31.7   -2.9   2022  FAST-GPPS
J1917+1556g   2.92   72.0   50.0   1.6    2022  FAST-GPPS
J1931+1428g   2.60   241.3  50.4   -2.1   2022  FAST-GPPS
J1900+0947g   2.40   242.6  42.7   2.4    2022  FAST-GPPS
J1937+1912g   5.08   345.5  55.2   -1.1   2022  FAST-GPPS
J1849+0623g   14.58  129.4  38.4   3.3    2022  FAST-GPPS
J1917+0621g   2.10   63.1   41.6   -3.0   2022  FAST-GPPS
J1921+1808g   5.66   137.9  52.4   1.8    2022  FAST-GPPS
J1939+1848g   3.35   79.3   55.0   -1.5   2022  FAST-GPPS
J1903+0830g   4.08   334.8  41.9   1.2    2022  FAST-GPPS
J1855-0221g   2.76   223.4  31.4   -2.1   2022  FAST-GPPS
J0541+2959g   3.20   67.3   178.7  -0.2   2022  FAST-GPPS
J0520+3722g   7.91   89.0   170.0  0.1    2022  FAST-GPPS
J2015+3404g   4.27   208.1  72.2   -0.5   2022  FAST-GPPS
J1911+0305g   5.85   147.0  38.0   -3.1   2022  FAST-GPPS
J1845+0201g   4.30   56.6   34.0   2.3    2022  FAST-GPPS
J0416+5202g   18.25  140.5  151.6  1.0    2023  FAST-GPPS
J1842-0138g   2.70   209.9  30.5   1.2    2023  FAST-GPPS
J1845+0315g   1.85   77.2   35.2   2.9    2023  FAST-GPPS
J1819-0050g   6.60   103.3  28.5   6.7    2023  FAST-GPPS
J1906-0200g   2.53   138.4  32.9   -4.4   2023  FAST-GPPS
J1907+0009g   2.37   83.0   34.9   -3.5   2023  FAST-GPPS
J2000+3157g   3.49   270.0  68.7   1.1    2023  FAST-GPPS
J1821+0044g   2.71   126.9  30.2   7.0    2021  FAST-GPPS
J1836+0117g   3.81   178.0  32.3   4.0    2023  FAST-GPPS
J1844+0455g   4.70   241.4  36.6   3.7    2023  FAST-GPPS
J1829-0235g   7.42   103.3  28.1   3.7    2023  FAST-GPPS
J1907+0052g   2.92   162.9  35.6   -3.3   2023  FAST-GPPS
J1939+2425g   5.78   186.9  59.9   1.2    2023  FAST-GPPS
J2007+3343g   2.68   217.2  71.1   0.6    2023  FAST-GPPS
J0636-3044    3.94   16     239.7  -16.3  2018  PKS-HTRU
J1017-7156    2.34   94.2   291.6  -12.6  2012  PKS-HTRU
J1101-6424    5.11   207.0  291.4  -4.0   2013  PKS-HTRU
J1125-5825    3.10   124.8  291.9  2.6    2010  PKS-HTRU
J1337-6423    9.42   260.3  307.9  -2.0   2012  PKS-HTRU
J1405-4656    7.60   13.9   315.8  14.1   2013  PKS-HTRU
J1431-4715    2.01   59.4   319.9  12.3   2013  PKS-HTRU
J1431-5740    4.11   131.5  315.9  2.7    2013  PKS-HTRU
J1446-4701    2.19   55.8   322.5  11.4   2012  PKS-HTRU
J1525-5545    11.35  126.9  323.4  0.9    2013  PKS-HTRU
J1529-3828    8.49   73.6   333.9  14.7   2013  PKS-HTRU
J1537-5312    6.93   117.5  326.4  1.8    2015  PKS-HTRU
J1543-5149    2.06   50.9   327.9  2.5    2012  PKS-HTRU
J1545-4550    3.58   68.4   331.9  6.9    2013  PKS-HTRU
J1547-5709    4.29   95.7   325.0  -2.0   2015  PKS-HTRU
J1618-36      5.78   104    343.1  10.2   2017  PKS-HTRU
J1618-4624    5.93   125.4  335.8  2.9    2016  PKS-HTRU
J1653-2054    4.13   56.6   359.9  -14.3  2014  PKS-HTRU
J1705-1903    2.48   58     3.1    13.0   2018  PKS-HTRU
J1708-3506    4.50   146.8  350.5  3.1    2010  PKS-HTRU
J1719-1438    5.79   36.8   8.9    12.8   2011  PKS-HTRU
J1731-1847    2.34   106.6  6.9    8.2    2010  PKS-HTRU
J1743-2427    11.76  196.8  3.6    2.7    2020  PKS-HTRU
J1745-2324    5.42   245    4.7    2.9    2017  PKS-HTRU
J1754+0032    4.41   70     26.9   12.8   2018  PKS-HTRU
J1755-3716    12.8   167.4  353.8  -5.9   2013  PKS-HTRU
J1757-2745    17.69  333.9  2.5    -1.8   2014  PKS-HTRU
J1801-3210    7.45   176.7  358.9  -4.6   2010  PKS-HTRU
J1804-2858    1.49   232    2.0    -3.6   2018  PKS-HTRU
J1811-2405    2.66   60.6   7.1    -2.6   2010  PKS-HTRU
J1825-0319    4.55   119.5  27.0   4.1    2013  PKS-HTRU
J1826-2415    4.69   81.9   8.3    -5.7   2012  PKS-HTRU
J1832-0836    2.72   28.2   23.1   0.3    2013  PKS-HTRU
J1947-18      2.60   25     21.5   -20.6  2018  PKS-HTRU
J2236-5527    6.91   20.0   334.2  -52.7  2013  PKS-HTRU
J2322-2650    3.46   6.1    28.6   -70.2  2018  PKS-HTRU
J0557+1551    2.56   102.7  192.7  -4.3   2012  AO-PALFA
J1840+03      5.83   81.0   34.7   4.0    2020  AO-PALFA
J1844+0115    4.19   148.2  33.3   2.1    2009  AO-PALFA
J1847+01      3.46   20.0   33.4   1.5    2019  AO-PALFA
J1850+0124    3.56   118.9  34.0   1.0    2009  AO-PALFA
J1900+0308    4.91   249.9  36.7   0.7    2009  AO-PALFA
J1901+0300    7.79   253.8  36.8   -0.9   2011  AO-PALFA
J1905+0453    6.09   183.1  38.7   -0.8   2011  AO-PALFA
J1906+0454    2.08   142.9  39.0   -1.2   2015  AO-PALFA
J1906+0055    2.79   126.9  35.4   -3.0   2011  AO-PALFA
J1913+0618    5.02   156.0  41.0   -2.0   2014  AO-PALFA
J1914+0659    18.51  224.7  41.8   -1.8   2011  AO-PALFA
J1919+04      3.96   142.8  39.7   -4.3   2019  AO-PALFA
J1921+1929    2.65   64.8   53.6   2.5    2016  AO-PALFA
J1928+1245    3.02   179.2  48.5   -2.3   2016  AO-PALFA
J1930+2441    5.77   69.6   59.2   3.0    2016  AO-PALFA
J1935+11      5.39   69.5   48.1   -4.3   2020  AO-PALFA
J1936+24      1.90   94.5   60.0   +2.0   2017  AO-PALFA
J1937+1658    3.96   105.9  53.2   -2.1   2014  AO-PALFA
J1938+2012    2.63   237.1  56.2   -0.8   2012  AO-PALFA
J1940+26      4.81   171.6  61.4   1.7    2019  AO-PALFA
J1940+25      5.89   30.9   61.1   1.6    2019  AO-PALFA
J1943+2210    5.08   174.1  58.5   0.7    2013  AO-PALFA
J1944+16      2.43   170.8  54.0   -3.5   2020  AO-PALFA
J1944+2236    3.61   183.9  58.8   -0.6   2010  AO-PALFA
J1946+20      16.94  93.8   57.7   -2.1   2017  AO-PALFA
J1949+3106    13.14  164.1  66.9   2.6    2009  AO-PALFA
J1950+2414    4.3    142.2  61.1   -1.2   2011  AO-PALFA
J1957+2516    3.96   44.1   62.7   -1.9   2011  AO-PALFA
J2010+3051    4.81   133.8  68.9   -1.3   2015  AO-PALFA
J0921-5202    9.68   122.4  273.8  -1.45  2012  PKS-PMPS
J1125-6014    2.63   53.0   292.5  0.9    2004  PKS-PMPS
J1146-6610    3.72   133.5  296.5  -4.12  2012  PKS-PMPS
J1216-6410    3.54   47.4   299.1  -1.6   2004  PKS-PMPS
J1435-6100    9.35   113.7  315.2  -0.6   2001  PKS-PMPS
J1546-5925    7.79   168.2  323.6  -3.77  2012  PKS-PMPS
J1552-4937    6.28   114.6  330.0  3.5    2012  PKS-PMPS
J1652-4838    3.78   187.8  337.9  -2.9   2012  PKS-PMPS
J1723-2837    1.86   19.9   357.3  4.2    2012  PKS-PMPS
J1725-3853    4.79   158.4  349.4  -1.8   2011  PKS-PMPS
J1748-3009    9.68   420.2  359.2  -1.1   2012  PKS-PMPS
J1751-2857    3.92   42.8   0.6    -1.1   2005  PKS-PMPS
J1753-2819    18.62  298.0  1.5    -1.3   2021  PKS-PMPS
J1801-1417    3.62   57.2   14.5   4.2    2004  PKS-PMPS
J1802-2124    12.65  149.6  8.4    0.6    2004  PKS-PMPS
J1813-2617    4.43   122.5  5.3    -3.9   2012  PKS-PMPS
J1835-0114    5.12   98     29.9   3.0    2009  PKS-PMPS
J1843-1113    1.85   60.0   22.1   -3.4   2004  PKS-PMPS
J1843-1448    5.47   114.6  18.9   -4.8   2012  PKS-PMPS
J1853+1303    4.09   30.6   44.9   5.4    2004  PKS-PMPS
J1905+0400    3.78   25.7   38.1   -1.3   2004  PKS-PMPS
J1910+1256    4.98   38.1   46.6   1.8    2004  PKS-PMPS
J1911+1347    4.63   31.0   47.5   1.8    2004  PKS-PMPS
