#PSR      	  P           DM       Gl       Gb       Notes
#             (ms)     (pc/cc)     (◦)      (◦)
J1748-3009    9.68396  420.2       359.272  -1.147   *
J1751-2737    2.23     260         1.761    -0.376   *
J1751-2857    3.91487  42.7890     0.646    -1.124   *
J1753-2819    18.6236  298.4       1.462    -1.252   *
J1754+0032    4.4108   70.2804     26.930   12.844   *
J1755-3716    12.7861  167.566     353.882  -6.041   *
J1757-2745    17.6872  334         2.391    -1.727   *
J1757-5322    8.86996  30.8047     339.637  -13.980  *
J1801-1417    3.6251   57.2516     14.546   4.162    GRS:4FGL_J1801.6-1418[aab+22]
J1801-3210    7.45358  177.729     358.922  -4.577   *
J1802-2124    12.6476  149.5902    8.382    0.611    *
J1804-2717    9.34303  24.6746     3.505    -2.736   *
J1804-2858    1.49269  232.528     1.995    -3.498   *
J1805+0615    2.12891  64.883      33.351   13.005   GRS:4FGL_J1805.6+0615[aab+22]
J1806+2819    15.0837  18.6802     54.645   21.667   GRS:4FGL_J1807.1+2822[aab+22]
J1810+1744    1.66     39.7        44.642   16.806   GRS:4FGL_J1810.5+1744[aab+22],OPT:[bvr+13]
J1811-0624    4.14568  158.826     22.604   5.923    *
J1811-2405    2.66059  60.61997    7.073    -2.559   GRS:4FGL_J1811.3-2403[aab+22]
J1813-0402    4.10656  71.3474     24.971   6.534    *
J1813-2621    4.43001  122.4924    5.322    -4.112   *
J1816+4510    3.1931   38.8874     72.830   24.735   GRS:4FGL_J1816.5+4510[aab+22],OPT:[kbv+13],XRS:[pb15]
J1824-0621    3.23302  131.0313    24.160   3.100    *
J1824+1014    4.06592  59.8807     39.076   10.647   GRS:4FGL_J1824.1+1013[aab+22]
J1825-0319    4.55353  119.5584    27.045   4.138    *
J1826-2415    4.69576  81.8625     8.553    -5.718   *
J1828+0625    3.62756  22.408      36.069   8.014    *
J1832-0836    2.71911  28.19086    23.109   0.257    XRS:[pb15]
J1833-3840    1.87     78.6        356.011  -13.260  GRS:4FGL_J1833.0-3840[aab+22]
J1835-0114    5.11639  98.253      29.990   3.007    *
J1838+0022g   5.09     122.6       31.771   3.068    *
J1840+0012g   5.34     100.9       31.899   2.454    *
J1843-1113    1.84567  59.95797    22.055   -3.397   GRS:4FGL_J1843.7-1114[aab+22]
J1843-1448    5.47133  114.5440    18.782   -4.871   *
J1844+0028g   3.57     181.2       32.580   1.740    *
J1844+0115    4.18554  148.250     33.283   2.079    *
J1847+01      3.46307  20.100      33.519   1.524    *
J1847+0110g   6.53     183.4       33.508   1.434    *
J1849+0016g   1.81     271.4       33.002   0.449    *
J1850+0124    3.55976  118.88      34.025   0.959    *
J1850+0242    4.47986  540.068     35.265   1.403    *
J1852-0044g   2.41     272.9       32.395   -0.560   *
J1852+0309g   5.58     358.0       35.821   1.270    *
J1853-0008g   2.82     285.3       33.014   -0.453   *
J1853+1303    4.0918   30.5709     44.875   5.367    *
J1854+0012g   2.71     204.1       33.436   -0.546   *
J1855-1436    3.59409  109.208     20.359   -7.570   GRS:4FGL_J1855.9-1435[aab+22]
B1855+09      5.3621   13.2992     42.290   3.060    *
J1858+0244g   2.61     282.6       36.114   -0.216   *
J1858-2216    2.38401  26.631      13.581   -11.393  GRS:4FGL_J1858.3-2216[aab+22]
J1858-5422    2.36     30.81       342.100  -22.663  GRS:4FGL_J1858.3-5424[aab+22]
J1859+0026g   8.57     334.1       34.290   -1.700   *
J1859+0313g   1.61     107.7       36.725   -0.347   *
J1859+0658g   5.11     290.4       40.002   1.481    *
J1900+0308    4.90924  249.898     36.798   -0.658   *
J1901-0125    2.79     70.4        32.817   -2.902   GRS:4FGL_J1901.4-0126[aab+22]
J1901+0300    7.79678  253.887     36.811   -0.974   *
J1902-5105    1.7424   36.2505     345.650  -22.379  GRS:4FGL_J1902.0-5105[aab+22]
J1903+0327    2.14991  297.5245    37.336   -1.014   OPT:[fbw+11]
J1903+0839g   4.62     166.5       42.041   1.197    *
J1903-7051    3.5979   19.6612     324.391  -26.508  GRS:4FGL_J1903.4-7053[aab+22]
J1904+0207g   5.04     229.9       36.333   -1.990   *
J1904+0451    6.09237  182.705     38.806   -0.787   *
J1904+0553g   4.91     164.2       39.630   -0.164   *
J1904+0836g   4.44     90.5        42.078   1.016    *
J1904+0852g   6.19     195.1       42.353   1.066    *
J1904-11      2.62     97.7        24.100   -8.101   GRS:4FGL_J1904.4-1129[aab+22]
J1905+0400    3.7844   25.6923     38.095   -1.289   *
J1906+0055    2.78955  126.8317    35.505   -3.000   *
J1906+0454    2.08328  142.793     39.045   -1.167   *
J1908+0128    4.70232  75.0575     36.170   -3.080   *
J1908+0949g   9.05     220.3       43.562   0.797    *
J1908+1035g   10.69    10.9        44.271   1.096    *
J1908+2105    2.56439  61.9067     53.692   5.775    GRS:4FGL_J1908.9+2103[aab+22]
J1909+1132g   6.8      276.1       45.253   1.265    *
J1909-3744    2.94711  10.39077    359.731  -19.596  *
J1910+1054g   3.87     139.4       44.737   0.886    *
J1910+1256    4.98358  38.0680     46.564   1.795    *
J1911-1114    3.62575  30.9665     25.137   -9.579   XRS:[pb15]
J1911+1347    4.62596  30.988199   47.518   1.809    *
J1912+1417g   3.17     66.6        48.022   1.904    *
J1913+0618    5.02686  155.987     41.034   -1.960   *
J1914+0659    18.5118  225.34      41.785   -1.846   *
J1916+0741g   11.22    220.1       42.602   -1.975   *
J1917+1259g   5.63     117.0       47.430   0.235    *
J1918-0642    7.64587  26.5888     30.027   -9.123   *
J1918+1540g   4.28     271.2       49.897   1.310    *
J1918+1547g   3.76     64.6        50.028   1.311    *
J1921+0137    2.49637  104.9294    37.825   -5.938   GRS:4FGL_J1921.4+0136[aab+22]
J1921+1929    2.64634  64.7632     53.619   2.453    GRS:4FGL_J1921.1+1930[aab+22]
J1923+2515    3.78816  18.860      58.946   4.749    *
J1924+1343g   5.72     98.5        48.860   -0.891   *
J1924+2027g   1.95     211.7       54.819   2.246    *
J1925+1629g   4.11     214.1       51.392   0.243    *
J1928+1245    3.02161  179.233     48.534   -2.290   *
J1928+1816g   10.54    346.3       53.301   0.462    *
J1928+1902g   5.8      28.9        53.965   0.845    *
J1929+0132    6.41822  53.4573     38.712   -7.792   *
J1930+1403g   3.21     150.5       49.843   -2.006   *
J1930+2441    5.76741  69.572      59.228   3.002    *
J1933-6211    3.54343  11.51476    334.431  -28.632  *
J1935+1726    4.2001   61.6        53.368   -1.374   *
J1936+1952g   9.72     325.0       55.595   -0.388   *
J1937+1658    3.95767  105.8442    53.237   -2.090   *
J1938+2012    2.63414  236.909     56.205   -0.764   *
B1937+21      1.55781  71.01515    57.509   -0.290   *
